Match ID,Blue Win,First Blood,First Dragon,First Rift Herald,First Tower,Blue kills,Red kills,Blue assists,Red assists,Blue gold,Red gold,Gold Diff,Blue towers,Red towers,Blue xp,Red xp
4043261642,False,False,False,True,NA,3,7,1,8,15810,17605,-1795,0,0,19013,19521
4043159508,True,False,False,True,NA,5,4,4,3,16364,15517,847,0,0,19016,17684
4042411261,False,False,False,NA,NA,5,11,4,14,15583,19614,-4031,0,0,16936,18362
4041438775,False,False,True,False,NA,4,6,6,4,15345,17127,-1782,0,0,16372,18764
4041430325,True,False,True,True,Blue,11,8,9,8,18952,18400,552,1,0,19126,18290
4041366786,True,True,True,True,NA,10,5,13,5,18402,17080,1322,0,0,18965,17858
4041381659,True,True,False,NA,NA,11,5,7,4,17985,15677,2308,0,0,18655,17638
4041317608,False,False,NA,NA,NA,11,8,13,5,17873,16821,1052,0,0,17009,16555
4041296133,True,True,NA,NA,NA,6,4,10,4,17847,15894,1953,0,0,18350,18429
4041009358,False,True,False,False,NA,8,8,12,7,17267,17054,213,0,0,16924,18142
4040985929,True,False,True,NA,NA,7,6,6,6,17022,16479,543,0,0,18384,17129
4040968591,True,True,True,NA,Blue,11,12,15,12,19061,20851,-1790,1,0,16814,17260
4040943890,False,False,False,True,NA,9,8,12,11,18769,17658,1111,0,0,18712,17645
4040897717,False,False,NA,False,Red,6,9,8,15,16105,19589,-3484,0,1,16780,17320
4040851137,True,False,NA,True,NA,11,12,13,11,18208,18150,58,0,0,17886,16869
4040802884,True,True,False,NA,NA,10,3,14,5,19089,14645,4444,0,0,18187,15670
4040754400,False,True,NA,NA,NA,11,17,17,16,17967,20503,-2536,0,0,15153,18325
4040710300,False,True,NA,NA,NA,9,8,14,13,17510,16415,1095,0,0,17038,16359
4040577535,False,True,NA,False,NA,6,1,6,2,17962,15409,2553,0,0,19986,18746
4043263454,True,True,True,False,NA,2,4,2,5,15765,16017,-252,0,0,17767,18051
4043261642,False,False,False,True,NA,3,7,1,8,15810,17605,-1795,0,0,19013,19521
4043159411,True,False,NA,NA,NA,3,7,2,13,14339,16727,-2388,0,0,16076,17879
4043195455,True,False,False,True,NA,3,3,3,2,15251,15256,-5,0,0,18096,18715
4042955971,True,False,NA,False,NA,5,4,2,3,16532,16181,351,0,0,20096,18884
4042981829,False,True,True,False,NA,1,4,0,6,14133,17141,-3008,0,0,15728,19015
4042898202,True,False,True,NA,NA,12,9,15,11,17806,17054,752,0,0,18112,17441
4042910587,True,False,NA,NA,NA,8,4,13,5,17847,16083,1764,0,0,19418,17739
4042816894,False,False,False,NA,NA,7,9,9,7,15361,17696,-2335,0,0,15794,18391
4042821244,True,True,False,True,NA,3,10,3,16,16725,18091,-1366,0,0,17723,18506
4042736197,True,False,NA,NA,NA,8,9,7,16,17585,17960,-375,0,0,18862,17822
4042555474,False,False,NA,False,NA,3,10,5,13,14002,18382,-4380,0,0,15898,19836
4041661450,True,False,False,True,NA,6,12,7,15,16616,19521,-2905,0,0,17460,19657
4038337089,False,False,NA,NA,NA,4,5,3,5,15030,16935,-1905,0,0,17358,18820
4038344308,False,False,False,True,NA,2,6,2,4,15127,17124,-1997,0,0,17784,19766
4038321570,False,True,False,NA,NA,7,9,8,7,16121,17310,-1189,0,0,17696,18634
,Remake,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
4038306685,True,False,False,NA,NA,9,2,12,1,17322,15260,2062,0,0,19325,17912
4038093629,True,True,False,NA,NA,10,6,13,8,17651,16437,1214,0,0,17401,17236
4038081122,True,True,False,False,NA,12,3,9,3,18513,14544,3969,0,0,20734,16972
4038025818,True,False,True,False,NA,8,4,11,6,16864,15502,1362,0,0,19073,17293
4038001851,False,False,NA,True,NA,1,3,1,2,14553,16653,-2100,0,0,18924,18577
4043245261,False,True,NA,NA,NA,6,9,5,12,15663,18440,-2777,0,0,17576,19637
4042427048,True,False,NA,NA,NA,10,4,10,5,19469,15121,4348,0,0,18620,15023
4042472946,True,False,False,NA,NA,6,7,8,4,16470,16866,-396,0,0,18048,19102
4040679827,False,False,True,NA,NA,2,8,3,7,15032,17088,-2056,0,0,15977,18285
